Time,Pressure (mbar),Temp
0,1000,25
50,1000,25
100,1000,25
150,1000,25
200,1000,25
250,1000,25
300,1000,25
350,1000,25
400,1000,25
450,1000,25
500,1000,25
550,1000,25
600,1000,25
650,1000,25
700,1000,25
750,1000,25
800,1000,25
850,1000,25
900,1000,25
950,1000,25
1000,1000,25
1050,1000,25
1100,1000,25
1150,1000,25
1200,1000,25
1250,1000,25
1300,1000,25
1350,1000,25
1400,1000,25
1450,1000,25
1500,1000,25
1550,1000,25
1600,1000,25
1650,1000,25
1700,1000,25
1750,1000,25
1800,1000,25
1850,1000,25
1900,1000,25
1950,1000,25
2000,1000,25
2050,1000,25
2100,1000,25
2150,1000,25
2200,1000,25
2250,1000,25
2300,1000,25
2350,1000,25
2400,1000,25
2450,1000,25
2500,1000,25
2550,1000,25
2600,1000,25
2650,1000,25
2700,1000,25
2750,1000,25
2800,1000,25
2850,1000,25
2900,1000,25
2950,1000,25
3000,1000,25
3050,1000,25
3100,1000,25
3150,1000,25
3200,1000,25
3250,1000,25
3300,1000,25
3350,1000,25
3400,1000,25
3450,1000,25
3500,1000,25
3550,1000,25
3600,1000,25
3650,1000,25
3700,1000,25
3750,1000,25
3800,1000,25
3850,1000,25
3900,1000,25
3950,1000,25
4000,1000,25
4050,1000,25
4100,1000,25
4150,1000,25
4200,1000,25
4250,1000,25
4300,1000,25
4350,1000,25
4400,1000,25
4450,1000,25
4500,1000,25
4550,1000,25
4600,1000,25
4650,1000,25
4700,1000,25
4750,1000,25
4800,1000,25
4850,1000,25
4900,1000,25
4950,1000,25
5000,1000,25
5050,1000,25
5100,1000,25
5150,1000,25
5200,1000,25
5250,1000,25
5300,1000,25
5350,1000,25
5400,1000,25
5450,1000,25
5500,1000,25
5550,1000,25
5600,1000,25
5650,1000,25
5700,1000,25
5750,1000,25
5800,1000,25
5850,1000,25
5900,1000,25
5950,1000,25
6000,1000,25
6050,1000,25
6100,1000,25
6150,1000,25
6200,1000,25
6250,1000,25
6300,1000,25
6350,1000,25
6400,1000,25
6450,1000,25
6500,1000,25
6550,1000,25
6600,1000,25
6650,1000,25
6700,1000,25
6750,1000,25
6800,1000,25
6850,1000,25
6900,1000,25
6950,1000,25
7000,1000,25
7050,1000,25
7100,1000,25
7150,1000,25
7200,1000,25
7250,1000,25
7300,1000,25
7350,1000,25
7400,1000,25
7450,1000,25
7500,1000,25
7550,1000,25
7600,1000,25
7650,1000,25
7700,1000,25
7750,1000,25
7800,1000,25
7850,1000,25
7900,1000,25
7950,1000,25
8000,1000,25
8050,1000,25
8100,1000,25
8150,1000,25
8200,1000,25
8250,1000,25
8300,1000,25
8350,1000,25
8400,1000,25
8450,1000,25
8500,1000,25
8550,1000,25
8600,1000,25
8650,1000,25
8700,1000,25
8750,1000,25
8800,1000,25
8850,1000,25
8900,1000,25
8950,1000,25
9000,1000,25
9050,1000,25
9100,1000,25
9150,1000,25
9200,1000,25
9250,1000,25
9300,1000,25
9350,1000,25
9400,1000,25
9450,1000,25
9500,1000,25
9550,1000,25
9600,1000,25
9650,1000,25
9700,1000,25
9750,1000,25
9800,1000,25
9850,1000,25
9900,1000,25
9950,1000,25
10000,1000,25
10050,1000,25
10100,1000,25
10150,1000,25
10200,1000,25
10250,1000,25
10300,1000,25
10350,1000,25
10400,1000,25
10450,1000,25
10500,1000,25
10550,1000,25
10600,1000,25
10650,1000,25
10700,1000,25
10750,1000,25
10800,1000,25
10850,1000,25
10900,1000,25
10950,1000,25
11000,1000,25
11050,1000,25
11100,1000,25
11150,1000,25
11200,1000,25
11250,1000,25
11300,1000,25
11350,1000,25
11400,1000,25
11450,1000,25
11500,1000,25
11550,1000,25
11600,1000,25
11650,1000,25
11700,1000,25
11750,1000,25
11800,1000,25
11850,1000,25
11900,1000,25
11950,1000,25
12000,1000,25
12050,1000,25
12100,1000,25
12150,1000,25
12200,1000,25
12250,1000,25
12300,1000,25
12350,1000,25
12400,1000,25
12450,1000,25
12500,1000,25
12550,1000,25
12600,1000,25
12650,1000,25
12700,1000,25
12750,1000,25
12800,1000,25
12850,1000,25
12900,1000,25
12950,1000,25
13000,1000,25
13050,1000,25
13100,1000,25
13150,1000,25
13200,1000,25
13250,1000,25
13300,1000,25
13350,1000,25
13400,1000,25
13450,1000,25
13500,1000,25
13550,1000,25
13600,1000,25
13650,1000,25
13700,1000,25
13750,1000,25
13800,1000,25
13850,1000,25
13900,1000,25
13950,1000,25
14000,1000,25
14050,1000,25
14100,1000,25
14150,1000,25
14200,1000,25
14250,1000,25
14300,1000,25
14350,1000,25
14400,1000,25
14450,1000,25
14500,1000,25
14550,1000,25
14600,1000,25
14650,1000,25
14700,1000,25
14750,1000,25
14800,1000,25
14850,1000,25
14900,1000,25
14950,1000,25
15000,1000,25
15050,1000,25
15100,1000,25
15150,1000,25
15200,1000,25
15250,1000,25
15300,1000,25
15350,1000,25
15400,1000,25
15450,1000,25
15500,1000,25
15550,1000,25
15600,1000,25
15650,1000,25
15700,1000,25
15750,1000,25
15800,1000,25
15850,1000,25
15900,1000,25
15950,1000,25
16000,1000,25
16050,1000,25
16100,1000,25
16150,1000,25
16200,1000,25
16250,1000,25
16300,1000,25
16350,1000,25
16400,1000,25
16450,1000,25
16500,1000,25
16550,1000,25
16600,1000,25
16650,1000,25
16700,1000,25
16750,1000,25
16800,1000,25
16850,1000,25
16900,1000,25
16950,1000,25
17000,1000,25
17050,1000,25
17100,1000,25
17150,1000,25
17200,1000,25
17250,1000,25
17300,1000,25
17350,1000,25
